,f1_score
Demirastrites triangulatus,0.99
Dicellograptus tumidus,0.73
Dicellograptus turgidus,0.76
Paraorthograptus pacificus,0.87
Spirograptus turriculatus,0.99
Appendispinograptus venustus,0.98
Nicholsonograptus fasciculatus,0.80
Nicholsonograptus praelongus,0.87
Paraorthograptus longispinus,0.62
Cryptograptus tricornis (Juvenile),0.53
Phyllograptus anna,0.98
Rastrites guizhouensis,0.97
Tangyagraptus typicus,0.99
Yinograptus grandis,0.99
Coronograptus cyphus,0.90
Cystograptus vesiculosus,0.31
Normalograptus extraordinarius,0.81
Normalograptus persculptus,0.83
Parakidograptus acuminatus,0.06
Diceratograptus mirus,0.97
Lituigraptus convolutus,0.99
Paraplegmatograptus connectus,0.85
Pararetiograptus regularis,0.65
Dicellograptus bispiralis,1.00
Dicellograptus caduceus,0.73
Dicellograptus divaricatus salopiensis,0.23
Dicellograptus smithi,0.00
Dicellograptus undatus,0.64
Dicranograptus irregularis,0.59
Dicranograptus sinensis,0.67
Didymograptus jiangxiensis,0.64
Didymograptus latus tholiformis,0.95
Didymograptus miserabilis,0.67
Amplexograptus acusiformis,0.87
Amplexograptus fusiformis,0.72
Cryptograptus arcticus sinensis,0.46
Cryptograptus gracilicornis,0.45
Dicellograptus divaricatus,0.79
Dicranograptus nicholsoni parvangulus,0.52
Dicranograptus ramosus,0.59
Didymograptus euodus,0.86
Didymograptus linearis longus,0.90
Didymograptus saerganensis,0.57
Climacograptus pauperatus,0.19
Cryptograptus arcticus,0.55
Cryptograptus marcidus,0.89
Cryptograptus tricornis,0.41
Glossograptus briaros,1.00
Glossograptus robustus,1.00
Glyptograptus plurithecatus wuningensis,0.90
Glyptograptus teretiusculus siccatus,0.31
Pseudoclimacograptus parvus jiangxiensis,0.92
Pseudoclimacograptus wannanensis,0.39
Diplograptus proelongatus,0.48
Glyptograptus teretiusculus,0.10
Jiangxigraptus inculus,0.81
Jishougraptus mui,0.94
Leptograptus flaccidus trentonensis,0.76
Monoclimacis neimengolensis,0.62
Pseudoclimacograptus angulatus,0.45
Pseudoclimacograptus longus,0.57
Pseudoclimacograptus modestus,0.90
Pseudoclimacograptus parvus,0.65
Amplexograptus disjunctus yangtzensis,0.35
Amplexograptus suni,0.75
Climacograptus miserabilis,0.00
Climacograptus supernus,0.57
Dicellograptus ornatus,0.65
Diplograptus modestus,0.84
Glyptograptus incertus,0.22
Petalolithus elongatus,0.68
Petalolithus folium,0.80
Streptograptus runcinatus,0.69
Dicellograptus szechuanensis,0.89
Diplograptus bohemicus,0.75
Glyptograptus austrodentatus,0.40
Glyptograptus gracilis,0.51
Glyptograptus lungmacensis,0.33
Glyptograptus tamariscus,0.58
Glyptograptus tamariscus linealis,0.53
Glyptograptus tamariscus magnus,0.90
Reteograptus uniformis,0.89
Retiolites geinitzianus,0.94
Amplexograptus orientalis,0.37
Climacograptus angustatus,0.00
Climacograptus leptothecalis,0.43
Climacograptus minutus,0.06
Climacograptus normalis,0.00
Climacograptus tianbaensis,0.32
Colonograptus praedeubeli,0.48
Diplograptus angustidens,0.54
Diplograptus diminutus,0.57
Rectograptus pauperatus,0.42
Amplexograptus confertus,0.49
Climacograptus angustus,0.07
Climacograptus textilis yichangensis,0.00
Colonograptus deubeli,0.61
Dicellograptus cf. complanatus,0.75
Diplograptus concinnus,0.88
Pristiograptus variabilis,0.79
Pseudoclimacograptus demittolabiosus,0.93
Pseudoclimacograptus formosus,0.90
Rectograptus abbreviatus,0.75
Akidograptus ascensus,0.49
Amplexograptus cf. maxwelli,0.68
Cardiograptus amplus,0.00
Climacograptus bellulus,0.89
Climacograptus hastatus,0.95
Glyptograptus dentatus,0.38
Glyptograptus elegans,0.12
Glyptograptus elegantulus,0.77
Orthograptus calcaratus,0.62
Trigonograptus ensiformis,0.84
